account_id,stake,processing,k_shell
node_0269,8481,0.82,1
node_0270,8939,0.46,1
node_0271,3123,0.52,4
node_0272,7292,0.76,2
node_0273,4425,0.55,3
node_0274,7228,0.88,4
node_0275,2039,0.03,2
node_0276,2644,0.31,1
node_0277,9098,0.41,2
node_0278,1908,0.46,1
node_0279,2572,0.50,3
node_0280,8387,0.71,4
node_0281,7955,0.98,2
node_0282,7533,0.55,4
node_0283,3172,0.92,2
node_0284,1193,0.28,4
node_0285,5618,0.93,3
node_0286,92,0.28,3
node_0287,9666,0.58,4
node_0288,2484,0.45,4
node_0289,5704,0.33,4
node_0290,7510,0.93,2
node_0291,3962,0.57,2
node_0292,6780,0.04,4
node_0293,6296,0.39,2
node_0294,8165,0.96,2
node_0295,8279,0.97,3
node_0296,1694,0.87,4
node_0297,1683,0.53,4
node_0298,301,0.72,4
node_0299,2579,0.07,3
node_0300,5596,0.62,4
node_0301,1365,0.85,4
node_0302,5238,0.63,4
node_0303,8914,0.04,1
node_0304,3896,0.63,3
node_0305,3777,0.75,4
node_0306,1662,0.76,1
node_0307,7319,0.17,3
node_0308,524,0.05,1
node_0309,4856,0.36,4
node_0310,2435,0.24,4
node_0311,9322,0.68,2
node_0312,2835,0.18,4
node_0313,3995,0.50,2
node_0314,3854,0.46,3
node_0315,7579,0.26,1
node_0316,7672,0.90,2
node_0317,1260,0.44,3
node_0318,9676,0.30,4
node_0319,4147,0.46,3
node_0320,3313,1.00,4
node_0321,1797,0.24,3
node_0322,9467,0.30,3
node_0323,409,0.98,4
node_0324,4547,0.01,1
node_0325,9985,0.75,3
node_0326,3820,0.61,3
node_0327,3638,0.64,3
node_0328,2290,0.63,1
node_0329,5111,0.79,1
node_0330,9545,0.36,2
node_0331,1526,0.91,3
node_0332,6857,0.18,2
node_0333,8887,0.88,3
node_0334,8747,0.50,3
node_0335,2745,0.26,4
node_0336,4885,0.75,3
node_0337,1936,0.47,1
node_0338,2356,0.75,2
node_0339,6561,0.97,3
node_0340,1529,0.79,1
node_0341,4382,0.54,4
node_0342,6088,0.67,3
node_0343,9627,0.38,3
node_0344,1825,0.67,4
node_0345,460,0.62,3
node_0346,3676,0.65,4
node_0347,5001,0.65,1
node_0348,2340,0.05,1
node_0349,5036,1.00,1
node_0350,1642,0.23,2
node_0351,6417,0.45,4
node_0352,9672,0.74,2
node_0353,6847,0.65,4
node_0354,6736,0.94,3
node_0355,586,0.69,2
node_0356,7314,0.44,2
node_0357,5992,0.10,3
node_0358,8970,0.90,3
node_0359,1042,0.40,2
node_0360,2051,0.95,4
node_0361,1551,0.66,1
node_0362,878,0.79,2
node_0363,2113,0.79,2
node_0364,1174,0.83,2
node_0365,9657,0.22,2
node_0366,5433,0.77,1
node_0367,4592,0.86,2
node_0368,2179,0.54,2
node_0369,1851,0.66,1
node_0370,2209,0.01,2
node_0371,9697,0.32,2
node_0372,4397,0.05,4
node_0373,8669,0.11,1
node_0374,7852,0.45,3
node_0375,8458,0.59,4
node_0376,8304,0.22,1
node_0377,8593,0.30,1
node_0378,1046,1.00,4
node_0379,7034,0.69,4
node_0380,7317,0.07,1
node_0381,5327,0.61,1
node_0382,2117,0.28,3
node_0383,6290,0.99,3
node_0384,7483,0.51,4
node_0385,1674,0.79,1
node_0386,9083,0.72,2
node_0387,7096,0.45,2
node_0388,6829,0.34,4
node_0389,6582,0.42,1
node_0390,5170,0.43,3
node_0391,6182,0.95,4
node_0392,1149,0.09,1
node_0393,1577,0.43,3
node_0394,2181,0.56,3
node_0395,2052,0.41,4
node_0396,892,0.97,3
node_0397,5811,0.10,2
node_0398,2585,0.66,2
node_0399,1823,0.35,3
node_0400,1932,0.76,2
node_0401,7080,0.85,1
node_0402,4431,0.03,3
node_0403,5112,0.92,3
node_0404,150,0.18,2
node_0405,9328,0.66,1
node_0406,2374,0.74,1
node_0407,1553,0.75,2
node_0408,6213,0.42,3
node_0409,2628,0.37,3
node_0410,9349,0.60,1
node_0411,2599,0.16,1
node_0412,1386,0.27,4
node_0413,8007,0.61,4
node_0414,4525,0.22,1
node_0415,5705,0.43,3
node_0416,9767,0.49,3
node_0417,794,0.22,1
node_0418,175,0.20,2
node_0419,2298,0.76,3
node_0420,5425,0.12,4
node_0421,7105,0.18,4
node_0422,8775,0.70,3
node_0423,1230,0.40,1
node_0424,7197,0.02,1
node_0425,5179,0.58,4
node_0426,6893,0.29,4
node_0427,391,0.97,2
node_0428,7588,0.83,3
node_0429,1493,0.44,1
node_0430,4036,0.44,4
node_0431,8634,0.08,3
node_0432,5612,0.22,2
node_0433,1301,0.51,1
node_0434,8743,0.51,3
node_0435,5802,0.73,2
node_0436,3921,0.10,3
node_0437,3282,0.17,2
node_0438,1284,0.18,4
node_0439,7651,0.75,4
node_0440,9298,0.64,3
node_0441,5229,0.15,1
node_0442,7732,0.44,3
node_0443,4550,0.59,3
node_0444,8362,0.07,4
node_0445,7454,0.04,3
node_0446,4753,0.08,1
node_0447,9783,0.51,4
node_0448,9558,0.55,1
node_0449,7418,0.91,2
node_0450,5317,0.61,2
node_0451,1063,0.45,3
node_0452,1431,0.50,2
node_0453,691,0.25,4
node_0454,7249,0.52,2
node_0455,6012,0.37,3
node_0456,6397,0.41,3
node_0457,9845,0.05,3
node_0458,1129,0.33,4
node_0459,4705,0.25,2
node_0460,5511,0.08,2
node_0461,5781,0.31,4
node_0462,2162,0.60,1
node_0463,5122,0.56,3
node_0464,2143,0.67,1
node_0465,6987,0.51,1
node_0466,5990,0.31,2
node_0467,5648,0.95,4
node_0468,3195,0.23,2
node_0469,2588,0.08,1
node_0470,8367,0.77,1
node_0471,5567,0.88,2
node_0472,9835,0.38,2
node_0473,3012,0.83,2
node_0474,7220,0.04,3
node_0475,3941,0.97,3
node_0476,7405,0.23,2
node_0477,5120,0.97,4
node_0478,3228,0.37,4
node_0479,7614,0.77,4
node_0480,8289,0.53,2
node_0481,3321,0.80,2
node_0482,4146,0.05,4
node_0483,6131,0.55,1
node_0484,8502,0.85,3
node_0485,1424,0.76,3
node_0486,7411,0.91,2
node_0487,7217,0.09,2
node_0488,7441,0.88,1
node_0489,6847,0.05,3
node_0490,3912,0.39,1
node_0491,6192,0.22,3
node_0492,1673,0.84,3
node_0493,2442,0.14,3
node_0494,7790,0.70,2
node_0495,7735,0.45,1
node_0496,1348,0.02,2
node_0497,2499,0.55,4
node_0498,1871,0.78,2
node_0499,4984,0.12,2
node_0500,6928,0.64,4
